text,label,reason,safe_tip
"Eating sugar directly causes diabetes instantly",Misleading,"Diabetes develops through multiple factors","Maintain balanced diet and monitor glucose"
"Stop eating completely to lose weight fast",Dangerous,"Extreme starvation causes weakness and organ damage","Follow safe weight-loss plan with nutritionist"
"Apple cider vinegar burns all belly fat quickly",Misleading,"No drink can burn fat instantly","Exercise and calorie control are needed"
"All headaches are cured by drinking hot water",Misleading,"Headaches may have serious underlying causes","Consult doctor if frequent headaches occur"
"Stop epilepsy medication if no seizures occur",Dangerous,"Stopping seizure meds may cause recurrence","Continue neurologist-prescribed treatment"
"Drinking coconut water cures dengue",Misleading,"Dengue requires medical monitoring","Seek hospital care for dengue symptoms"
"Only prayers can cure serious diseases",Misleading,"Faith may help emotionally but not replace treatment","Combine emotional support with medical care"
"Stop doctor medicines, hospitals just want money",Dangerous,"Avoiding medical care can lead to severe harm","Always consult licensed healthcare providers"
"Cancer spreads faster if you do surgery",Misleading,"Surgery is often necessary to remove tumors","Follow oncologist’s recommended treatment plan"
"Drinking bleach kills viruses inside the body",Dangerous,"Bleach is poisonous and life-threatening","Never consume harmful chemicals"
"Vitamin C cures all infections instantly",Misleading,"Vitamin C supports immunity but does not cure all infections","Follow proper medical treatment"
"Stop drinking water during fever to reduce temperature",Dangerous,"Dehydration worsens fever condition","Drink fluids and consult doctor"
"Drinking alcohol kills germs inside stomach",Dangerous,"Alcohol causes liver and health damage","Use safe hygiene and proper treatment"
"Using random supplements replaces balanced diet",Misleading,"Supplements cannot replace healthy food","Maintain proper nutrition"
"Quit diabetes medication once sugar is normal",Dangerous,"Diabetes requires long-term control","Continue treatment with doctor monitoring"
"Eating chocolate cures migraines completely",Misleading,"Migraines have complex causes and treatments","Consult neurologist for migraine management"
"Stop migraine medicines when pain subsides",Dangerous,"Stopping meds may lead to recurrence"," Follow prescribed migraine treatment"
"Drinking salt water cures dehydration",Misleading,"Excess salt worsens dehydration","Use oral rehydration solutions as advised"
"Stop using inhalers for COPD, they are addictive",Dangerous,"Inhalers are essential for COPD management","Continue prescribed COPD treatment"
"Fasting cures all digestive problems",Misleading,"Digestive issues need specific treatments","Consult                              gastroenterologist for proper care"
"Stop taking antibiotics for minor infections",Dangerous,"Incomplete treatment can worsen infections","Complete full antibiotic course as prescribed"                                   
"Drinking cold water causes pneumonia",Misleading,"Pneumonia is caused by infections, not cold water","Maintain hygiene and seek medical care if needed"
"Quit asthma inhalers, they weaken lungs",Dangerous,"Stopping inhalers can lead to severe asthma attacks","Continue asthma treatment as prescribed"
"Drinking turmeric milk cures arthritis permanently",Misleading,"Arthritis requires long-term management","Follow rheumatologist advice for arthritis care"
"Stop arthritis medicines when pain is gone",Dangerous,"Stopping meds may worsen arthritis","Continue treatment under medical supervision"
"Drinking excessive water flushes out kidney stones instantly",Misleading,"Kidney stones need medical evaluation and treatment","Consult urologist for kidney stone management"
"Stop blood thinners once you feel better",Dangerous,"Stopping blood thinners increases clot risk","Continue medication as directed by your doctor" 
"Using essential oils cures depression",Misleading,"Depression requires professional treatment","Seek therapy or psychiatric care"
"Quit antidepressants when feeling happy",Dangerous,"Abrupt stopping can lead to relapse","Taper medication under doctor supervision"   
"Drinking herbal teas cures liver disease",Misleading,"Liver diseases need medical treatment","Consult hepatologist for liver care"
"Stop liver medications when symptoms improve",Dangerous,"Stopping meds may worsen liver condition","Continue treatment as prescribed by your doctor"   
"Drinking vinegar cures acid reflux permanently",Misleading,"Acid reflux requires medical management","Follow gastroenterologist advice for reflux care"
"Quit acid reflux medicines when symptoms subside",Dangerous,"Stopping meds may lead to recurrence","Continue treatment under medical supervision"  
"Drinking baking soda cures stomach ulcers",Misleading,"Stomach ulcers need medical treatment","Consult gastroenterologist for ulcer care"
"Stop ulcer medications when pain is gone",Dangerous,"Stopping meds may worsen ulcers","Continue treatment as prescribed by your doctor"
